File Name,Collection_Type,Speaker_Code,Speaker_Role,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...,age_years,age_available,identified_noun,conventional_classifier,conventional_classifier_zh,classifier_type,overuse_of_ge,rationale
Mandarin/Erbaugh/Kang/17.xml,Chinese,CHI,Target_Child,1301.375,那 为什么 还有 一 个 红 颜色 的 管子,conj adv:wh conj num cl adj adj poss n,一,个,General,True,3.6,True,管子,gen,根,General,True,管子通常用特定量词“根”(gen)来计数。
Mandarin/Erbaugh/Peng/25.xml,Chinese,ADU,Adult,1082.3125,怎么 会 有 一 个 小 的,adv:wh v:aux v num cl adj nom,一,个,General,False,3.0,True,OMITTED,N/A,N/A,General,False,Here '一个小的' uses a nominalized adjective with the noun left implicit.
Mandarin/LiReading/4/r4yfl8.xml,Chinese,CHI,Target_Child,2161.0625,然后 那 个 怪物 呀 躲 在 马桶 里 那 边,conj det cl n sfp v prep n post pro:dem n,那,个,General,False,5.9,True,怪物,ge,个,General,False,‘怪物’通常用通用量词‘个’来计数。
Mandarin/LiReading/5/r5yfi7.xml,Chinese,CHI,Target_Child,1765.375,这 个 小 鸟 它 的 窝 在 这里,det cl adj n pro:per poss n prep post,这,个,General,True,4.8,True,小鸟,zhi,只,General,True,The noun 小鸟 conventionally takes the specific classifier 只.
Mandarin/LiReading/6/r6yfl22.xml,Chinese,MOT,Mother,2191.5,好 的 我们 现在 换 另外 一 本 啦,adj nom pro:per adv v adv num n sfp,一,本,Specific,False,6.0,True,OMITTED,N/A,N/A,Specific,False,"The noun following '一本' is not spoken, so the referent is omitted."
Mandarin/TCCM-reading/b05_204.xml,Chinese,MOT,Mother,852.25,蜘蛛 在 他 的 网 上 抓 住 了 那 只 苍蝇,n prep pro:per poss n post v v:resc asp det cl n,那,只,Specific,False,2.3,True,苍蝇,zhi,只,Specific,False,‘苍蝇’通常使用特定量词“只”(zhi)。
Mandarin/TCCM/chw/030900.xml,Chinese,CHI,Target_Child,1369.6875,我 是 一 个 大 笨蛋,pro:per v:cop num cl adj n,一,个,General,False,3.8,True,大笨蛋,ge,个,General,False,"The noun phrase '大笨蛋' refers to a person, which conventionally takes the general classifier 'ge' (个)."
Mandarin/TCCM/chw/040100.xml,Chinese,CHI,Target_Child,1491.4375,这 边 也 长 一 个 包,pro:dem n adv v num cl n,一,个,General,False,4.1,True,包,ge,个,General,False,“包”常用量词为“个”，这里使用正确。
Mandarin/TCCM/wuys/030300.xml,Chinese,CHI,Target_Child,1187.0625,不 是 这 个,adv v:cop det cl,这,个,General,False,3.2,True,OMITTED,N/A,N/A,General,False,Demonstrative-copula structure with an implicit referent and no explicit noun.
Mandarin/Tong/010822.xml,Chinese,CHI,Target_Child,630.75,一 百 块 在 这,num num cl prep pro:dem,百,块,Specific,False,1.7,True,OMITTED,N/A,N/A,Specific,False,"The classifier '块' appears without an overt noun, so the modified noun is omitted."
