File Name,Collection_Type,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...
Mandarin/ChangPlay/3/017.xml,Chinese,1156.625,阿姨 带 这 个 车车 漂 漂 啊,n:relat v det cl n v v sfp,这,个,,
Mandarin/ChangPN/grade1/148.xml,Chinese,2404.5625,后来 那 只 狗 就 停 下来 了 嗯,adv det cl n adv v v:dirc asp co,那,只,,
Mandarin/Erbaugh/Peng/19.xml,Chinese,978.0,这 个 不 是 红 花 耶,det cl adv v:cop adj n co,这,个,,
Mandarin/LiReading/4/r4yml8.xml,Chinese,1461.0,还是 想 做 一 个 圆圆的 茶几 还是 做 一 个 正方形 的 小 课桌 你 都 需要 一 朵 花,adv v v num cl adj n adv v num cl n poss adj n pro:per adv v num cl n,一,个,,
Mandarin/LiReading/5/r5yfl18.xml,Chinese,1826.25,这 个 人 在 抚摸 它,det cl n adv v pro:per,这,个,,
Mandarin/LiReading/6/r6yfi5.xml,Chinese,2252.375,它 把 一 个 小 杯子 给 弄 撒 了,pro:per prep num cl adj n prep v v asp,一,个,,
Mandarin/LiReading/6/r6yfi5.xml,Chinese,2252.375,妈妈 我们 种 了 一 个 花 也 有 一 个 花蜜,n:relat pro:per v asp num cl n adv v num cl n,一,个,,
Mandarin/LiReading/6/r6yfi6.xml,Chinese,2130.625,做 一 个 桌子 上面 可以 放 很 多 台灯 鲜花,v num cl n post v:aux v adv adj n n,一,个,,
Mandarin/LiReading/6/r6yfl12.xml,Chinese,2252.375,蜜蜂 要 去 那 个 花朵 上面 采 蜜,n v:aux v:dirc det cl n post v n,那,个,,
Mandarin/LiReading/6/r6yfl18.xml,Chinese,2161.0625,然后 把 这 个 桌子 上 布满 花朵,conj prep det cl n post v n,这,个,,
Mandarin/LiReading/6/r6yml22.xml,Chinese,2221.9375,猫 就 在 一 个 抽屉 里,n adv prep num cl n post,一,个,,
Mandarin/LiReading/6/r6yml8.xml,Chinese,2161.0625,这 个 是 花 桌,det cl v:cop v n,这,个,,
Mandarin/LiZhou/6/04.xml,Chinese,,还有 一 个 花生,conj num cl n,一,个,,
Mandarin/TCCM/wang/030000.xml,Chinese,1095.75,你 要 先 把 这 个 钞票 拿 着 喔,pro:per v:aux adv prep det cl n v asp co,这,个,,
Mandarin/TCCM/wu/010900.xml,Chinese,639.1875,一 条 鱼,num cl n,一,条,,
Mandarin/TCCM/yang/020400.xml,Chinese,852.25,你 看 你 那 个 脸 那么 花,pro:per v pro:per det cl n adv n,那,个,,
Mandarin/Zhou2/42/ma05.xml,Chinese,1278.375,少 了 两 个 花瓣,adj asp num cl n,两,个,,
Mandarin/ZhouAssessment/3-3.5/XIAN3035dailanxi.xml,Chinese,,这 个 是 可以 暂 放 脏 衣服 的,det cl v:cop v:aux adv v adj n poss,这,个,,
Mandarin/ZhouNarratives/Caterpillar/6/6yf13.xml,Chinese,2191.5,还 还有 个 纸 包 的 蛋糕 和 一 个 冰淇淋 蛋糕,conj cl n v cleft n conj num cl n n,一,个,,
Mandarin/ZhouNarratives/Robber/3/3yf13.xml,Chinese,1461.0,你 现在 呢 把 这 个 图画 书 呢 先 拿 到,pro:per adv sfp prep det cl n n sfp adv v v:resc,这,个,,
