File Name,Collection_Type,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...,identified_noun,conventional_classifier,classifier_type,overuse_of_ge,rationale
Mandarin/AcadLang/lower/001.xml,Chinese,,这 个 是 什么 呀,det cl v:cop pro:wh sfp,这,个,General,False,OMITTED,N/A,General,False,"The phrase ""这 个"" functions as a demonstrative with an omitted noun; using the generic classifier 个 is appropriate in this context."
Mandarin/AcadLang/lower/001.xml,Chinese,,这 个 样子 啊,det cl n sfp,这,个,General,False,样子,ge,General,False,"The noun is ""样子"" (appearance). The common adult classifier for this noun is the general classifier 个, so using 个 here is appropriate and not an overuse."
Mandarin/AcadLang/lower/001.xml,Chinese,,那 之后 小孩 又 看 到 这 个,pro:dem post n adv v v:resc det cl,这,个,General,False,OMITTED,N/A,General,False,"The phrase ""这 个"" functions as a demonstrative pronoun meaning ""this one,"" with the noun omitted; using 个 in this context is appropriate and not an overuse."
Mandarin/AcadLang/lower/001.xml,Chinese,,这 个 是 什么 啊,det cl v:cop pro:wh sfp,这,个,General,False,OMITTED,N/A,General,False,"The phrase ""这 个"" functions as a demonstrative pronoun meaning ""this one""; the noun is omitted, so using the general classifier 个 is appropriate and not an overuse."
Mandarin/AcadLang/lower/001.xml,Chinese,,这 本来 是 两 个 字,pro:dem adv v:cop num cl n,两,个,General,False,字,ge,General,False,"For the noun ""字"", the standard adult classifier is the general classifier 个, so its use here is correct and not an overuse."
Mandarin/AcadLang/lower/001.xml,Chinese,,啊 两 个 字,sfp num cl n,两,个,General,False,字,ge,General,False,"The noun is ""字"" (character). The standard adult classifier for characters is the general classifier 个, so using 个 here is appropriate and not an overuse."
Mandarin/AcadLang/lower/001.xml,Chinese,,篮球 像 一 个 大 肉圆,n v num cl adj n,一,个,General,False,大肉圆,ge,General,False,"The noun ""大肉圆"" (a type of meat bun) is commonly classified with the general classifier 个, so using 个 here is standard and not an overuse."
Mandarin/AcadLang/lower/001.xml,Chinese,,篮球 像 一 个 大 肉圆 啊,n v num cl adj n sfp,一,个,General,False,肉圆,ge,General,False,"The noun being modified is ""肉圆"" (a type of food). For most foods, the standard classifier is 个, so using 个 here is appropriate and not an overuse."
Mandarin/AcadLang/lower/001.xml,Chinese,,它 要是 有 一 个 篮球,pro:per conj v num cl n,一,个,General,False,篮球,ge,General,False,"The noun 篮球 normally takes the general classifier 个 (e.g., 一个篮球). Using 个 here follows adult convention, so it is not an overuse."
Mandarin/AcadLang/lower/002.xml,Chinese,2191.5,那 请 你 来 介绍 一下 这 个 好不好,pro:dem v pro:per v:dirc v adv det cl co:int,这,个,General,False,OMITTED,N/A,General,False,"The phrase ""这 个"" functions as a demonstrative pronoun meaning ""this one"" without an explicit noun, so the classifier is appropriate and not overused."
Mandarin/AcadLang/lower/002.xml,Chinese,2191.5,最后 一 个 了 好 吧,adv num cl asp adj sfp,一,个,General,False,OMITTED,N/A,General,False,"The phrase contains the numeral 一 followed by the classifier 个, but no noun follows; thus the noun is omitted and the use of 个 is acceptable in this context."
Mandarin/AcadLang/lower/002.xml,Chinese,2191.5,皮球 是 和 那 个 苹果 一样的,n v:cop prep det cl n adj,那,个,General,False,苹果,ge,General,False,"The noun being modified by the target classifier is 苹果. The standard adult classifier for apple is 个 (ge), so using 个 here follows convention and is not an overuse."
Mandarin/AcadLang/lower/003.xml,Chinese,1369.6875,还 有 这 个 颜色,adv v det cl n,这,个,General,True,颜色,zhong,General,True,"The noun 颜色 is normally classified with the specific classifier 种 in adult Mandarin (e.g., 一种颜色). Using 个 here is a general classifier and therefore an over‑use of 个 for this noun."
Mandarin/AcadLang/lower/005.xml,Chinese,2191.5,这 是 一 个,pro:dem v:cop num cl,一,个,General,False,OMITTED,N/A,General,False,"The classifier ‘个’ follows the number but no noun is present; with an omitted noun, using ‘个’ (or omitting a classifier altogether) is acceptable. Hence there is no overuse."
