File Name,Collection_Type,Speaker_Code,Speaker_Role,Age,Utterance,%gra,Determiner/Numbers,Classifier,utterance_id,utterance_order,classifier_token_order,transcript_id,determiner_type,Classifier type,Over use of Ge...,age_years,age_available,identified_noun,conventional_classifier,conventional_classifier_zh,classifier_type,overuse_of_ge,rationale
Mandarin/ChangPN/age3/056.xml,Chinese,EXP,Investigator,1400.125,好 再 给 你 一 张,adj adv v pro:per num cl,一,张,4937686,151,6,15972,numeral,Specific,False,3.8,True,OMITTED,N/A,N/A,Specific,False,Classifier '张' used without an explicit noun; noun omitted.
Mandarin/Erbaugh/Kang/01.xml,Chinese,FAT,Father,1041.875,十 块 钱 我 去 拿 去,num cl n pro:per v:dirc v v:dirc,十,块,5363064,875,2,18641,numeral,Specific,False,2.9,True,钱,kuai,块,Specific,False,Money (yuan) correctly takes the specific classifier 'kuai' (块).
Mandarin/Erbaugh/Kang/10.xml,Chinese,MOT,Mother,1198.0625,那 你 还是 穿 一 件 背心 好 了 好 吧,conj pro:per adv v num cl n adj asp adj sfp,一,件,5362826,51,6,18650,numeral,Specific,False,3.3,True,背心,jian,件,Specific,False,背心 correctly takes the specific classifier 'jian' (件).
Mandarin/LiReading/4/r4yfl24.xml,Chinese,MOT,Mother,1461.0,最后 一 个 故事 叫 寻猫启事,adv num cl n v n:prop,一,个,4976536,154,3,16183,numeral,General,False,4.0,True,故事,ge,个,General,False,The noun '故事' conventionally takes the general classifier '个'.
Mandarin/LiReading/4/r4yml11.xml,Chinese,MOT,Mother,1430.5625,这 个 是 什么 啊,det cl v:cop pro:wh sfp,这,个,4992500,517,2,16210,demonstrative,General,False,3.9,True,OMITTED,N/A,N/A,General,False,Demonstrative-copula construction with no explicit referent noun.
Mandarin/LiReading/6/r6yfl1.xml,Chinese,MOT,Mother,2191.5,这 只 猫 上面 有有 这 个 什么 啊,det cl n post v det cl pro:wh sfp,这,只,5027071,501,2,16315,demonstrative,Specific,False,6.0,True,猫,zhi,只,Specific,False,Cat correctly uses specific classifier '只'.
Mandarin/TCCM-reading/g01_201.xml,Chinese,MOT,Mother,760.9375,你 要不要 来 抓 这 只 苍蝇,pro:per v:aux v:dirc v det cl n,这,只,5355461,174,6,18631,demonstrative,Specific,False,2.1,True,苍蝇,zhi,只,Specific,False,Flies conventionally take the specific classifier 'zhi' (只).
Mandarin/TCCM/chou/020400.xml,Chinese,CHI,Target_Child,852.25,这 个 插 xxx,det cl v,这,个,5107529,575,2,16718,demonstrative,General,False,2.3,True,OMITTED,N/A,N/A,General,False,"Demonstrative-classifier construction with no explicit noun, so noun omitted."
Mandarin/TCCM/jc/030300.xml,Chinese,EXA,Investigator,1187.0625,一 个,num cl,一,个,5135274,864,2,16749,numeral,General,False,3.2,True,OMITTED,N/A,N/A,General,False,Numeral-classifier phrase without an explicit noun; noun omitted.
Mandarin/TCCM/pan/030300.xml,Chinese,CHI,Target_Child,1187.0625,这 当 这 个 一样 大 的时候 和 这 个 bopomofo 一样不一样,v det cl adj adj post prep det cl L2 adj,这,个,5144410,225,4,16766,demonstrative,General,False,3.2,True,bopomofo,ge,个,General,False,The noun 'bopomofo' (a phonetic symbol) conventionally takes the general classifier 'ge' (个).
Mandarin/TCCM/wu/020200.xml,Chinese,CHI,Target_Child,791.375,我 要 这 个,pro:per v det cl,这,个,5168291,853,4,16789,demonstrative,General,False,2.2,True,OMITTED,N/A,N/A,General,False,Demonstrative phrase with omitted referent noun.
