File Name,Collection_Type,Speaker_Code,Speaker_Role,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...,age_years,age_available,identified_noun,conventional_classifier,conventional_classifier_zh,classifier_type,overuse_of_ge,rationale
Mandarin/ChangPlay/3/017.xml,Chinese,MOT,Mother,1156.625,阿姨 带 这 个 车车 漂 漂 啊,n:relat v det cl n v v sfp,这,个,General,True,3.2,True,车车,liang,辆,General,True,"Vehicles like 'che' conventionally require the specific classifier 'liang' (辆), making 'ge' an overuse."
Mandarin/ChangPN/grade1/148.xml,Chinese,EXP,Investigator,2404.5625,后来 那 只 狗 就 停 下来 了 嗯,adv det cl n adv v v:dirc asp co,那,只,Specific,False,6.6,True,狗,zhi,只,Specific,False,The noun '狗' conventionally takes the specific animal classifier 'zhi' (只).
Mandarin/Erbaugh/Peng/19.xml,Chinese,ADU,Adult,978.0,这 个 不 是 红 花 耶,det cl adv v:cop adj n co,这,个,General,False,2.7,True,OMITTED,N/A,N/A,General,False,Demonstrative-copula construction with no explicit referent noun.
Mandarin/LiReading/4/r4yml8.xml,Chinese,MOT,Mother,1461.0,还是 想 做 一 个 圆圆的 茶几 还是 做 一 个 正方形 的 小 课桌 你 都 需要 一 朵 花,adv v v num cl adj n adv v num cl n poss adj n pro:per adv v num cl n,一,个,General,True,4.0,True,课桌,zhang,张,General,True,"Desks require the specific classifier 'zhang' (张) for flat-surfaced furniture, making 'ge' an overuse here."
Mandarin/LiReading/5/r5yfl18.xml,Chinese,MOT,Mother,1826.25,这 个 人 在 抚摸 它,det cl n adv v pro:per,这,个,General,False,5.0,True,人,ge,个,General,False,'Ge' is the standard classifier for people.
Mandarin/LiReading/6/r6yfi5.xml,Chinese,CHI,Target_Child,2252.375,它 把 一 个 小 杯子 给 弄 撒 了,pro:per prep num cl adj n prep v v asp,一,个,General,False,6.2,True,杯子,ge,个,General,False,The noun '杯子' (cup) conventionally takes the general classifier 'ge' (个).
Mandarin/LiReading/6/r6yfi5.xml,Chinese,CHI,Target_Child,2252.375,妈妈 我们 种 了 一 个 花 也 有 一 个 花蜜,n:relat pro:per v asp num cl n adv v num cl n,一,个,,,6.2,True,", ",",",,,,
Mandarin/LiReading/6/r6yfi6.xml,Chinese,MOT,Mother,2130.625,做 一 个 桌子 上面 可以 放 很 多 台灯 鲜花,v num cl n post v:aux v adv adj n n,一,个,,,5.8,True,", ",,,,,
Mandarin/LiReading/6/r6yfl12.xml,Chinese,MOT,Mother,2252.375,蜜蜂 要 去 那 个 花朵 上面 采 蜜,n v:aux v:dirc det cl n post v n,那,个,General,True,6.2,True,花朵,duo,朵,General,True,"The noun '花朵' conventionally takes the specific classifier 'duo' (朵), making the use of 'ge' an instance of overgeneralization."
Mandarin/LiReading/6/r6yfl18.xml,Chinese,MOT,Mother,2161.0625,然后 把 这 个 桌子 上 布满 花朵,conj prep det cl n post v n,这,个,General,True,5.9,True,桌子,zhang,张,General,True,Tables require the specific classifier 'zhang' (张).
Mandarin/LiReading/6/r6yml22.xml,Chinese,CHI,Target_Child,2221.9375,猫 就 在 一 个 抽屉 里,n adv prep num cl n post,一,个,General,False,6.1,True,抽屉,ge,个,General,False,The noun '抽屉' (drawer) conventionally takes the general classifier 'ge' (个).
Mandarin/LiReading/6/r6yml8.xml,Chinese,CHI,Target_Child,2161.0625,这 个 是 花 桌,det cl v:cop v n,这,个,,,5.9,True,", ",,,,,
Mandarin/LiZhou/6/04.xml,Chinese,CH2,Target_Child,,还有 一 个 花生,conj num cl n,一,个,General,True,,False,花生,ke,颗,General,True,"Peanuts require the specific classifier 'ke' (颗), making 'ge' (个) an overgeneralization."
