File Name,Collection_Type,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...,identified_noun,conventional_classifier,classifier_type,overuse_of_ge,rationale
Mandarin/ChangPlay/3/017.xml,Chinese,1156.625,阿姨 带 这 个 车车 漂 漂 啊,n:relat v det cl n v v sfp,这,个,General,True,车车,辆,General,True,Vehicles/cars require the specific classifier 'liang'. Using 'ge' instead constitutes overuse of the general classifier.
Mandarin/ChangPN/grade1/148.xml,Chinese,2404.5625,后来 那 只 狗 就 停 下来 了 嗯,adv det cl n adv v v:dirc asp co,那,只,Specific,False,狗,zhi,Specific,False,"The noun 狗 (dog) conventionally takes the specific classifier 只, which is the standard measure word for animals."
Mandarin/Erbaugh/Peng/19.xml,Chinese,978.0,这 个 不 是 红 花 耶,det cl adv v:cop adj n co,这,个,General,False,OMITTED,N/A,General,False,"The classifier '个' appears in a demonstrative construction '这个' without an explicit noun. When the noun is omitted in such constructions, 'ge' is acceptable as a general classifier."
Mandarin/LiReading/4/r4yml8.xml,Chinese,1461.0,还是 想 做 一 个 圆圆的 茶几 还是 做 一 个 正方形 的 小 课桌 你 都 需要 一 朵 花,adv v v num cl adj n adv v num cl n poss adj n pro:per adv v num cl n,一,个,General,True,茶几,zhang,General,True,"茶几 (tea table/coffee table) conventionally requires the specific classifier 'zhang' (张) used for flat-surfaced furniture and tables, making the use of 'ge' an overgeneralization."
Mandarin/LiReading/5/r5yfl18.xml,Chinese,1826.25,这 个 人 在 抚摸 它,det cl n adv v pro:per,这,个,General,False,人,ge,General,False,个 is the standard classifier for people.
Mandarin/LiReading/6/r6yfi5.xml,Chinese,2252.375,它 把 一 个 小 杯子 给 弄 撒 了,pro:per prep num cl adj n prep v v asp,一,个,General,False,杯子,ge,General,False,"杯子 (cup/glass) standardly takes 'ge' as its classifier in Mandarin, though 'zhi' is also acceptable in some varieties. Using 'ge' here is correct and not overuse."
Mandarin/LiReading/6/r6yfi5.xml,Chinese,2252.375,妈妈 我们 种 了 一 个 花 也 有 一 个 花蜜,n:relat pro:per v asp num cl n adv v num cl n,一,个,General,True,花,朵,General,True,"The noun '花' (flower) conventionally requires the specific classifier '朵' (duǒ), making the use of the general classifier '个' an overuse."
Mandarin/LiReading/6/r6yfi6.xml,Chinese,2130.625,做 一 个 桌子 上面 可以 放 很 多 台灯 鲜花,v num cl n post v:aux v adv adj n n,一,个,General,True,桌子,zhang,General,True,"Tables are flat furniture items that conventionally require the specific classifier 'zhang' (张), but the child used the general classifier 'ge' (个)."
Mandarin/LiReading/6/r6yfl12.xml,Chinese,2252.375,蜜蜂 要 去 那 个 花朵 上面 采 蜜,n v:aux v:dirc det cl n post v n,那,个,General,True,花朵,duo,General,True,"Flowers require the specific classifier '朵', not the general '个'."
Mandarin/LiReading/6/r6yfl18.xml,Chinese,2161.0625,然后 把 这 个 桌子 上 布满 花朵,conj prep det cl n post v n,这,个,General,True,桌子,zhang,General,True,"The standard classifier for tables is 'zhang', not 'ge'."
Mandarin/LiReading/6/r6yml22.xml,Chinese,2221.9375,猫 就 在 一 个 抽屉 里,n adv prep num cl n post,一,个,General,False,抽屉,ge,General,False,抽屉 (drawer) conventionally takes the general classifier 个 as its standard measure word.
Mandarin/LiReading/6/r6yml8.xml,Chinese,2161.0625,这 个 是 花 桌,det cl v:cop v n,这,个,General,True,桌,zhang,General,True,"The standard classifier for tables (桌) is 'zhang' (张), which is used for flat furniture. The child used the general classifier 'ge' (个) instead, constituting overuse."
Mandarin/LiZhou/6/04.xml,Chinese,,还有 一 个 花生,conj num cl n,一,个,General,True,花生,ke,General,True,"Peanuts require the specific classifier 'ke' (or 'li'), not the general 'ge'."
Mandarin/TCCM/wang/030000.xml,Chinese,1095.75,你 要 先 把 这 个 钞票 拿 着 喔,pro:per v:aux adv prep det cl n v asp co,这,个,General,True,钞票,zhang,General,True,Banknotes (钞票) are flat paper objects and conventionally require the specific classifier 'zhang' (张) rather than the general 'ge'.
Mandarin/TCCM/wu/010900.xml,Chinese,639.1875,一 条 鱼,num cl n,一,条,Specific,False,鱼,tiao,Specific,False,"Fish conventionally take the specific classifier 'tiao' (条) for long, slender objects."
Mandarin/TCCM/yang/020400.xml,Chinese,852.25,你 看 你 那 个 脸 那么 花,pro:per v pro:per det cl n adv n,那,个,General,True,脸,zhang,General,True,"The noun '脸' (face) conventionally requires the specific classifier 'zhang' (used for flat objects), but the child used the general classifier 'ge' instead."
Mandarin/Zhou2/42/ma05.xml,Chinese,1278.375,少 了 两 个 花瓣,adj asp num cl n,两,个,General,True,花瓣,pian,General,True,"花瓣 (flower petals) are flat, thin objects that conventionally require the specific classifier 片 (pian). The use of the general classifier 个 constitutes overuse."
Mandarin/ZhouAssessment/3-3.5/XIAN3035dailanxi.xml,Chinese,,这 个 是 可以 暂 放 脏 衣服 的,det cl v:cop v:aux adv v adj n poss,这,个,General,False,OMITTED,N/A,General,False,Demonstrative usage without explicit noun; 'ge' functions as a general placeholder classifier here.
Mandarin/ZhouNarratives/Caterpillar/6/6yf13.xml,Chinese,2191.5,还 还有 个 纸 包 的 蛋糕 和 一 个 冰淇淋 蛋糕,conj cl n v cleft n conj num cl n n,一,个,General,False,蛋糕,ge,General,False,"蛋糕 (cake) conventionally takes the general classifier 个 when referring to a whole cake item. While 块 is used for slices or pieces, 个 is the standard classifier for intact, whole cakes, which is the context here comparing a paper-wrapped cake and an ice cream cake."
Mandarin/ZhouNarratives/Robber/3/3yf13.xml,Chinese,1461.0,你 现在 呢 把 这 个 图画 书 呢 先 拿 到,pro:per adv sfp prep det cl n n sfp adv v v:resc,这,个,General,True,图画书,ben,General,True,"Picture books (图画书) require the specific classifier 'ben' (本), making 'ge' (个) an overgeneralization."
