File Name,Collection_Type,Speaker_Code,Speaker_Role,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...,age_years,age_available,identified_noun,conventional_classifier,conventional_classifier_zh,classifier_type,overuse_of_ge,rationale
Mandarin/Erbaugh/Kang/17.xml,Chinese,CHI,Target_Child,1301.375,那 为什么 还有 一 个 红 颜色 的 管子,conj adv:wh conj num cl adj adj poss n,一,个,General,True,3.6,True,管子,gen,根,General,True,"管子 conventionally takes the specific classifier gen (根) for long cylindrical objects, making the use of ge (个) an overextension."
Mandarin/Erbaugh/Peng/25.xml,Chinese,ADU,Adult,1082.3125,怎么 会 有 一 个 小 的,adv:wh v:aux v num cl adj nom,一,个,General,False,3.0,True,OMITTED,N/A,N/A,General,False,The nominalized adjective phrase '小的' functions as a noun phrase but lacks an explicit lexical head noun.
Mandarin/LiReading/4/r4yfl8.xml,Chinese,CHI,Target_Child,2161.0625,然后 那 个 怪物 呀 躲 在 马桶 里 那 边,conj det cl n sfp v prep n post pro:dem n,那,个,General,True,5.9,True,怪物,zhi,只,General,True,"As an animate creature, 'monster' conventionally takes the specific classifier 'zhi' (只), so using 'ge' (个) represents overgeneralization."
Mandarin/LiReading/5/r5yfi7.xml,Chinese,CHI,Target_Child,1765.375,这 个 小 鸟 它 的 窝 在 这里,det cl adj n pro:per poss n prep post,这,个,General,True,4.8,True,鸟,zhi,只,General,True,"Birds conventionally take the specific classifier 'zhi' (只), so using 'ge' constitutes overuse."
Mandarin/LiReading/6/r6yfl22.xml,Chinese,MOT,Mother,2191.5,好 的 我们 现在 换 另外 一 本 啦,adj nom pro:per adv v adv num n sfp,一,本,Specific,False,6.0,True,OMITTED,N/A,N/A,Specific,False,The noun (understood to be '书') following the classifier 'ben' is omitted in this utterance.
Mandarin/TCCM-reading/b05_204.xml,Chinese,MOT,Mother,852.25,蜘蛛 在 他 的 网 上 抓 住 了 那 只 苍蝇,n prep pro:per poss n post v v:resc asp det cl n,那,只,Specific,False,2.3,True,苍蝇,zhi,只,Specific,False,Flies correctly take the specific classifier 'zhi' (只).
Mandarin/TCCM/chw/030900.xml,Chinese,CHI,Target_Child,1369.6875,我 是 一 个 大 笨蛋,pro:per v:cop num cl adj n,一,个,General,False,3.8,True,笨蛋,ge,个,General,False,"笨蛋 refers to a person, and 'ge' (个) is the standard conventional classifier for people."
Mandarin/TCCM/chw/040100.xml,Chinese,CHI,Target_Child,1491.4375,这 边 也 长 一 个 包,pro:dem n adv v num cl n,一,个,General,False,4.1,True,包,ge,个,General,False,The noun '包' (bump/swelling) conventionally takes the general classifier 'ge' (个).
Mandarin/TCCM/wuys/030300.xml,Chinese,CHI,Target_Child,1187.0625,不 是 这 个,adv v:cop det cl,这,个,General,False,3.2,True,OMITTED,N/A,N/A,General,False,Demonstrative-copula construction with no explicit referent noun.
Mandarin/Tong/010822.xml,Chinese,CHI,Target_Child,630.75,一 百 块 在 这,num num cl prep pro:dem,百,块,Specific,False,1.7,True,OMITTED,N/A,N/A,Specific,False,"The noun (e.g., '钱' money or another item) is omitted but implied by the context of the quantity phrase ending with the specific classifier '块'."
Mandarin/Xinjiang/ENNI/201204/ykd206.xml,Chinese,CHI,Target_Child,2191.5,然后 那个 那 个 另 一 个 大象 想 拿 飞机,conj det cl adv num cl n v v n,一,个,General,True,6.0,True,大象,tou,头,General,True,Elephants conventionally require the specific classifier 'tou' (头) rather than the general classifier 'ge'.
Mandarin/Xinjiang/ENNI/201209/syx108.xml,Chinese,CHI,Target_Child,1643.625,他们 两 个 大象 这 个 跑,pro:per num cl n det cl v,这,个,General,False,4.5,True,OMITTED,N/A,N/A,General,False,The target classifier appears in the demonstrative phrase '这个' before the verb '跑' with no explicit referent noun following it.
Mandarin/Zhou2/72/fa06.xml,Chinese,CHI,Target_Child,2191.5,没 那 个 颜色 我 就 用 这 个,adv det cl n pro:per adv prep det cl,那,个,General,True,6.0,True,颜色,zhong,种,General,True,The noun '颜色' conventionally requires the specific classifier 'zhong' (种) for kinds or types.
Mandarin/Zhou2/72/fb16.xml,Chinese,CHI,Target_Child,2191.5,这 是 四 只 皮皮鼠 在 爸爸 妈妈 的 床 上 玩 得 很 高兴,pro:dem v:cop num cl n prep n:relat n:relat poss n post v stative adv adj,四,只,Specific,False,6.0,True,皮皮鼠,zhi,只,Specific,False,Animals such as mice correctly take the specific classifier 'zhi' (只).
Mandarin/Zhou2/72/ma05.xml,Chinese,CHI,Target_Child,2191.5,看 这 个,v det cl,这,个,General,False,6.0,True,OMITTED,N/A,N/A,General,False,No explicit noun is present in the utterance; the classifier modifies an implicit referent.
Mandarin/Zhou3/001005.xml,Chinese,MOT,Mother,1461.0,这 个 叫 仙人球,det cl v n,这,个,General,False,4.0,True,OMITTED,N/A,N/A,General,False,Demonstrative-copula construction with no explicit referent noun.
Mandarin/Zhou3/010912.xml,Chinese,FAT,Father,651.1875,你 刚才 拿 了 几 只 笔 啊,pro:per adv v asp num cl n sfp,几,只,Specific,False,1.8,True,笔,zhi,支,Specific,False,"The standard classifier for pens is 'zhi' (支), though the child used the homophonous 'zhi' (只) which is typically reserved for animals or certain handled objects."
Mandarin/ZhouAssessment/4-4.5/FJ4045tangchenyouke.xml,Chinese,CHI,Child,,这 这 个 就是 洗澡,det cl co:int v,这,个,General,False,,False,OMITTED,N/A,N/A,General,False,Demonstrative-copula construction with no explicit referent noun.
Mandarin/ZhouNarratives/Caterpillar/6/6ym14.xml,Chinese,CHI,Target_Child,2191.5,一 天 晚上 一 天 晚上 蝴蝶 妈妈 产 在 树叶 上 产 产 下 了 一 颗 卵,num cl n n n:relat prep n post v v:dirc asp num cl n,一,天,Specific,False,6.0,True,晚上,ge,个,Specific,False,"'Wanshang' (晚上) conventionally requires the general classifier 'ge' (个), not 'tian' (天)."
Mandarin/ZhouNarratives/Robber/3/3ym5.xml,Chinese,CHI,Target_Child,1461.0,十 一 个 十 二 个 十 三 个 十 四 个 十 五 个 十 六 个 十 七 个 十 八 个 十 九 个 二 十 个,num num cl num num cl num num cl num num cl num num cl num num cl num num cl num num cl num num cl num num cl,二,个,General,False,4.0,True,OMITTED,N/A,N/A,General,False,The utterance contains only a counting sequence (11 through 20) with no explicit noun present.
