File Name,Collection_Type,Speaker_Code,Speaker_Role,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...
Mandarin/Erbaugh/Kang/17.xml,Chinese,CHI,Target_Child,1301.375,那 为什么 还有 一 个 红 颜色 的 管子,conj adv:wh conj num cl adj adj poss n,一,个,,
Mandarin/Erbaugh/Peng/25.xml,Chinese,ADU,Adult,1082.3125,怎么 会 有 一 个 小 的,adv:wh v:aux v num cl adj nom,一,个,,
Mandarin/LiReading/4/r4yfl8.xml,Chinese,CHI,Target_Child,2161.0625,然后 那 个 怪物 呀 躲 在 马桶 里 那 边,conj det cl n sfp v prep n post pro:dem n,那,个,,
Mandarin/LiReading/5/r5yfi7.xml,Chinese,CHI,Target_Child,1765.375,这 个 小 鸟 它 的 窝 在 这里,det cl adj n pro:per poss n prep post,这,个,,
Mandarin/LiReading/6/r6yfl22.xml,Chinese,MOT,Mother,2191.5,好 的 我们 现在 换 另外 一 本 啦,adj nom pro:per adv v adv num n sfp,一,本,,
Mandarin/TCCM-reading/b05_204.xml,Chinese,MOT,Mother,852.25,蜘蛛 在 他 的 网 上 抓 住 了 那 只 苍蝇,n prep pro:per poss n post v v:resc asp det cl n,那,只,,
Mandarin/TCCM/chw/030900.xml,Chinese,CHI,Target_Child,1369.6875,我 是 一 个 大 笨蛋,pro:per v:cop num cl adj n,一,个,,
Mandarin/TCCM/chw/040100.xml,Chinese,CHI,Target_Child,1491.4375,这 边 也 长 一 个 包,pro:dem n adv v num cl n,一,个,,
Mandarin/TCCM/wuys/030300.xml,Chinese,CHI,Target_Child,1187.0625,不 是 这 个,adv v:cop det cl,这,个,,
Mandarin/Tong/010822.xml,Chinese,CHI,Target_Child,630.75,一 百 块 在 这,num num cl prep pro:dem,百,块,,
Mandarin/Xinjiang/ENNI/201204/ykd206.xml,Chinese,CHI,Target_Child,2191.5,然后 那个 那 个 另 一 个 大象 想 拿 飞机,conj det cl adv num cl n v v n,一,个,,
Mandarin/Xinjiang/ENNI/201209/syx108.xml,Chinese,CHI,Target_Child,1643.625,他们 两 个 大象 这 个 跑,pro:per num cl n det cl v,这,个,,
Mandarin/Zhou2/72/fa06.xml,Chinese,CHI,Target_Child,2191.5,没 那 个 颜色 我 就 用 这 个,adv det cl n pro:per adv prep det cl,那,个,,
Mandarin/Zhou2/72/fb16.xml,Chinese,CHI,Target_Child,2191.5,这 是 四 只 皮皮鼠 在 爸爸 妈妈 的 床 上 玩 得 很 高兴,pro:dem v:cop num cl n prep n:relat n:relat poss n post v stative adv adj,四,只,,
Mandarin/Zhou2/72/ma05.xml,Chinese,CHI,Target_Child,2191.5,看 这 个,v det cl,这,个,,
Mandarin/Zhou3/001005.xml,Chinese,MOT,Mother,1461.0,这 个 叫 仙人球,det cl v n,这,个,,
Mandarin/Zhou3/010912.xml,Chinese,FAT,Father,651.1875,你 刚才 拿 了 几 只 笔 啊,pro:per adv v asp num cl n sfp,几,只,,
Mandarin/ZhouAssessment/4-4.5/FJ4045tangchenyouke.xml,Chinese,CHI,Child,,这 这 个 就是 洗澡,det cl co:int v,这,个,,
Mandarin/ZhouNarratives/Caterpillar/6/6ym14.xml,Chinese,CHI,Target_Child,2191.5,一 天 晚上 一 天 晚上 蝴蝶 妈妈 产 在 树叶 上 产 产 下 了 一 颗 卵,num cl n n n:relat prep n post v v:dirc asp num cl n,一,天,,
Mandarin/ZhouNarratives/Robber/3/3ym5.xml,Chinese,CHI,Target_Child,1461.0,十 一 个 十 二 个 十 三 个 十 四 个 十 五 个 十 六 个 十 七 个 十 八 个 十 九 个 二 十 个,num num cl num num cl num num cl num num cl num num cl num num cl num num cl num num cl num num cl num num cl,二,个,,
