File Name,Collection_Type,Age,Utterance,%gra,Determiner/Numbers,Classifier,Classifier type,Over use of Ge...,identified_noun,conventional_classifier,classifier_type,overuse_of_ge,rationale
Mandarin/ChangPlay/3/017.xml,Chinese,1156.625,阿姨 带 这 个 车车 漂 漂 啊,n:relat v det cl n v v sfp,这,个,General,True,车车,liang,General,True,"Vehicles require the specific classifier 'liang' (辆), not the general 'ge'."
Mandarin/ChangPN/grade1/148.xml,Chinese,2404.5625,后来 那 只 狗 就 停 下来 了 嗯,adv det cl n adv v v:dirc asp co,那,只,Specific,False,gou (狗),只,Specific,False,"'Zhi' (只) is the specific, conventional classifier for dogs/animals. The child correctly used '只' instead of the general '个', demonstrating appropriate specific classifier acquisition."
Mandarin/Erbaugh/Peng/19.xml,Chinese,978.0,这 个 不 是 红 花 耶,det cl adv v:cop adj n co,这,个,General,False,OMITTED,N/A,General,False,Demonstrative usage without explicit noun is grammatically correct.
Mandarin/LiReading/4/r4yml8.xml,Chinese,1461.0,还是 想 做 一 个 圆圆的 茶几 还是 做 一 个 正方形 的 小 课桌 你 都 需要 一 朵 花,adv v v num cl adj n adv v num cl n poss adj n pro:per adv v num cl n,一,个,Specific,True,"['茶几', '课桌', '花']","['zhang', 'zhang', 'duo']",Specific,True,"The utterance contains three classifier-noun pairs. For '茶几'(tea table) and '课桌'(desk), the standard classifier is '张'(zhang) for flat furniture surfaces, making '个' overused. For '花'(flower), the standard classifier is '朵'(duo), also making '个' overused. The child used '个' for all three nouns where specific classifiers are conventionally required."
Mandarin/LiReading/5/r5yfl18.xml,Chinese,1826.25,这 个 人 在 抚摸 它,det cl n adv v pro:per,这,个,General,False,ren,ge,General,False,'Ge' is standard for people.
Mandarin/LiReading/6/r6yfi5.xml,Chinese,2252.375,它 把 一 个 小 杯子 给 弄 撒 了,pro:per prep num cl adj n prep v v asp,一,个,General,False,杯子,个,General,False,"The noun '杯子' (cup/glass) conventionally takes the general classifier '个' as its standard measure word, though '只' is also acceptable for handled cups. Usage of '个' here is correct and not overextension."
Mandarin/LiReading/6/r6yfi5.xml,Chinese,2252.375,妈妈 我们 种 了 一 个 花 也 有 一 个 花蜜,n:relat pro:per v asp num cl n adv v num cl n,一,个,"['General', 'General']","[True, True]","['花', '花蜜']","['朵', '滴']","['General', 'General']","[True, True]","'花'(flower)requires the specific classifier '朵'(duo),not '个'(ge). '花蜜'(nectar/honey)requires the specific classifier '滴'(drop)or '瓶'etc.,not '个'.Both uses of '个'constitute overgeneralization."
Mandarin/LiReading/6/r6yfi6.xml,Chinese,2130.625,做 一 个 桌子 上面 可以 放 很 多 台灯 鲜花,v num cl n post v:aux v adv adj n n,一,个,General,True,zhuozi,zhang,General,True,"Tables conventionally require the specific classifier 'zhang', but the child used the general classifier 'ge'."
Mandarin/LiReading/6/r6yfl12.xml,Chinese,2252.375,蜜蜂 要 去 那 个 花朵 上面 采 蜜,n v:aux v:dirc det cl n post v n,那,个,General,True,花朵,朵,General,True,The noun '花朵' (flower) conventionally requires the specific classifier '朵'. The use of the general classifier '个' represents overgeneralization.
Mandarin/LiReading/6/r6yfl18.xml,Chinese,2161.0625,然后 把 这 个 桌子 上 布满 花朵,conj prep det cl n post v n,这,个,General,True,桌子,zhang,General,True,"Tables (桌子) conventionally require the specific classifier 'zhang' (张) for flat objects, making 'ge' (个) an overgeneralization."
Mandarin/LiReading/6/r6yml22.xml,Chinese,2221.9375,猫 就 在 一 个 抽屉 里,n adv prep num cl n post,一,个,General,False,:,ge,General,False,抽屉 (drawer) conventionally takes the general classifier 个.
Mandarin/LiReading/6/r6yml8.xml,Chinese,2161.0625,这 个 是 花 桌,det cl v:cop v n,这,个,General,True,桌,zhang,General,True,The noun '桌' (table) conventionally requires the specific classifier 'zhang' (张). The use of the general classifier 'ge' (个) constitutes overgeneralization.
Mandarin/LiZhou/6/04.xml,Chinese,,还有 一 个 花生,conj num cl n,一,个,General,True,huasheng,ke,General,True,"Peanuts conventionally take the specific classifier 'ke' (颗) or 'li' (粒), rather than the general 'ge'."
Mandarin/TCCM/wang/030000.xml,Chinese,1095.75,你 要 先 把 这 个 钞票 拿 着 喔,pro:per v:aux adv prep det cl n v asp co,这,个,General,True,钞票,张,General,True,Banknotes (钞票) are flat objects and conventionally require the specific classifier 张 (zhang). Using the general classifier 个 (ge) constitutes overgeneralization.
Mandarin/TCCM/wu/010900.xml,Chinese,639.1875,一 条 鱼,num cl n,一,条,Specific,False,鱼,条,Specific,False,"Fish conventionally take the classifier '条' (tiáo), which is used for long, slender objects. The child correctly used the specific classifier rather than the general '个'."
Mandarin/TCCM/yang/020400.xml,Chinese,852.25,你 看 你 那 个 脸 那么 花,pro:per v pro:per det cl n adv n,那,个,General,True,脸,张,General,True,"The noun '脸' (face) conventionally requires the specific classifier '张' (zhang) used for flat surfaces, but the child used the general classifier '个' (ge) instead."
Mandarin/Zhou2/42/ma05.xml,Chinese,1278.375,少 了 两 个 花瓣,adj asp num cl n,两,个,General,True,花瓣,片,General,True,"Petal (花瓣) is a flat, thin object that conventionally requires the specific classifier 片 (piàn), but the child used the general classifier 个 (gè)."
Mandarin/ZhouAssessment/3-3.5/XIAN3035dailanxi.xml,Chinese,,这 个 是 可以 暂 放 脏 衣服 的,det cl v:cop v:aux adv v adj n poss,这,个,General,False,OMITTED,N/A,General,False,"Demonstrative usage without explicit noun. In constructions where the noun is omitted (e.g., 'this one is...'), the general classifier 'ge' is standard and correct."
Mandarin/ZhouNarratives/Caterpillar/6/6yf13.xml,Chinese,2191.5,还 还有 个 纸 包 的 蛋糕 和 一 个 冰淇淋 蛋糕,conj cl n v cleft n conj num cl n n,一,个,General,False,bingqilin dangao,ge,General,False,The noun 'bingqilin dangao' (ice cream cake) appropriately takes the general classifier 'ge' as standard for whole cakes.
